COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
"ARAB SATELLITE COMMUNICATIONS ORGANIZATION","AB","0","14","0","0","14","1","0","0","1","15"
"ABS Global Ltd","ABS","0","5","0","0","5","0","0","0","0","5"
"ASIASAT CORP","AC","0","8","0","0","8","0","0","0","0","8"
"REPUBLIC OF ANGOLA","AGO","0","2","0","0","2","0","0","0","0","2"
"ALGERIA","ALG","0","6","0","0","6","0","0","0","0","6"
"ARGENTINA","ARGN","0","55","0","1","56","3","0","0","3","59"
"AUSTRIA","ASRA","0","3","0","0","3","0","0","0","0","3"
"AUSTRALIA","AUS","0","33","2","0","35","8","0","0","8","43"
"AZERBAIJAN","AZER","0","3","0","0","3","0","0","0","0","3"
"BELGIUM","BEL","0","6","0","0","6","1","0","0","1","7"
"BELARUS","BELA","0","2","0","0","2","0","0","0","0","2"
"PEOPLES REPUBLIC OF BANGLADESH","BGD","0","1","0","0","1","1","0","0","1","2"
"REPUBLIC OF BULGARIA","BGR","0","3","0","0","3","0","0","0","0","3"
"BOLIVIA","BOL","0","1","0","0","1","0","0","0","0","1"
"BRAZIL","BRAZ","0","28","0","0","28","3","0","0","3","31"
"CANADA","CA","0","86","0","5","91","5","0","2","7","98"
"PEOPLES REPUBLIC OF CHINA/BRAZIL","CHBZ","0","4","0","25","29","0","0","62","62","91"
"CHILE","CHLE","0","6","0","0","6","0","0","0","0","6"
"COMMONWEALTH OF INDEPENDENT STATES","CIS","20","1569","1054","4659","7302","2100","2909","12419","17428","24730"
"COLOMBIA","COL","0","3","0","0","3","0","0","0","0","3"
"REPUBLIC OF COSTA RICA","CRI","0","0","0","0","0","1","0","0","1","1"
"CZECHOSLOVAKIA","CZCH","0","11","0","0","11","2","0","0","2","13"
"DENMARK","DEN","0","11","0","0","11","3","0","0","3","14"
"ECUADOR","ECU","0","2","0","0","2","0","0","0","0","2"
"EGYPT","EGYP","0","11","0","0","11","1","0","0","1","12"
"EUROPEAN SPACE AGENCY","ESA","0","97","7","22","126","12","4","19","35","161"
"EUROPEAN SPACE RESEARCH ORGANIZATION","ESRO","0","0","0","0","0","7","0","3","10","10"
"ESTONIA","EST","0","2","0","0","2","0","0","0","0","2"
"EUROPEAN ORGANIZATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES","EUME","0","10","0","8","18","0","0","0","0","18"
"EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION (EUTELSAT)","EUTE","0","61","0","0","61","0","0","0","0","61"
"FRANCE/GERMANY","FGER","0","2","0","0","2","0","0","0","0","2"
"FINLAND","FIN","0","22","0","0","22","1","0","0","1","23"
"FRANCE","FR","0","87","169","368","624","11","85","687","783","1407"
"FRANCE/ITALY","FRIT","0","2","0","0","2","0","0","0","0","2"
"GERMANY","GER","0","84","0","1","85","19","0","1","20","105"
"REPUBLIC OF GHANA","GHA","0","0","0","0","0","1","0","0","1","1"
"GLOBALSTAR","GLOB","0","84","0","1","85","0","0","1","1","86"
"GREECE","GREC","0","3","0","0","3","2","0","0","2","5"
"HUNGARY","HUN","0","2","0","0","2","3","0","0","3","5"
"INTERNATIONAL MARITIME SATELLITE ORGANIZATION (INMARSAT)","IM","0","20","0","0","20","0","0","0","0","20"
"INDIA","IND","0","115","43","62","220","16","27","466","509","729"
"INDONESIA","INDO","0","17","0","0","17","3","0","0","3","20"
"IRAN","IRAN","0","3","1","0","4","5","5","0","10","14"
"IRAQ","IRAQ","0","1","0","0","1","0","0","0","0","1"
"ISRAEL","ISRA","2","32","0","0","34","7","9","1","17","51"
"INTERNATIONAL SPACE STATION","ISS","0","5","0","1","6","1","0","99","100","106"
"ITALY","IT","0","47","2","0","49","16","0","2","18","67"
"INTERNATIONAL TELECOMMUNICATIONS SATELLITE ORGANIZATION (INTELSAT)","ITSO","0","92","0","1","93","1","0","0","1","94"
"HASHEMITE KINGDOM OF JORDAN","JOR","0","1","0","0","1","0","0","0","0","1"
"JAPAN","JPN","3","205","61","47","316","85","71","344","500","816"
"KAZAKHSTAN","KAZ","0","8","0","0","8","0","0","0","0","8"
"REPUBLIC OF KENYA","KEN","0","0","0","0","0","1","0","0","1","1"
"Kuwait","KWT","0","2","0","0","2","0","0","0","0","2"
"LAOS","LAOS","0","1","0","0","1","0","0","0","0","1"
"DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA","LKA","0","0","0","0","0","1","0","0","1","1"
"LITHUANIA","LTU","0","10","0","0","10","3","0","0","3","13"
"LUXEMBOURG","LUXE","0","17","0","0","17","1","0","0","1","18"
"MOROCCO","MA","0","2","0","0","2","0","0","0","0","2"
"MALAYSIA","MALA","0","8","0","0","8","0","0","0","0","8"
"Moldova, Republic of","MDA","0","0","0","0","0","1","0","0","1","1"
"MEXICO","MEX","0","11","0","0","11","1","0","0","1","12"
"REPUBLIC OF THE UNION OF MYNAMAR","MMR","0","0","0","0","0","1","0","0","1","1"
"MONGOLIA","MNG","0","0","0","0","0","1","0","0","1","1"
"Mauritius","MUS","0","0","0","0","0","1","0","0","1","1"
"NORTH ATLANTIC TREATY ORGANIZATION","NATO","0","8","0","0","8","0","0","0","0","8"
"NETHERLANDS","NETH","0","11","0","0","11","2","0","0","2","13"
"NEW ICO","NICO","0","1","0","0","1","0","0","0","0","1"
"NIGERIA","NIG","0","5","0","0","5","1","0","0","1","6"
"NORTH KOREA","NKOR","0","2","2","0","4","0","0","2","2","6"
"NORWAY","NOR","0","17","0","0","17","0","0","0","0","17"
"FEDERAL DEMOCRATIC REPUBLIC OF NEPAL","NPL","0","0","0","0","0","1","0","0","1","1"
"NEW ZEALAND","NZ","0","16","0","0","16","7","0","0","7","23"
"O3B NETWORKS","O3B","0","20","0","0","20","0","0","0","0","20"
"ORBITAL TELECOMMUNICATIONS SATELLITE (GLOBALSTAR)","ORB","0","58","0","18","76","1","0","16","17","93"
"PAKISTAN","PAKI","0","6","0","0","6","1","0","0","1","7"
"PERU","PER","0","2","0","0","2","2","0","0","2","4"
"POLAND","POL","0","10","0","0","10","4","0","0","4","14"
"PORTUGAL","POR","0","1","0","0","1","0","0","0","0","1"
"PEOPLES REPUBLIC OF CHINA","PRC","206","609","211","4232","5258","133","253","1491","1877","7135"
"Commonwealth of Puerto Rico","PRI","0","0","0","0","0","1","0","0","1","1"
"REPUBLIC OF PARAGUAY","PRY","0","0","0","0","0","1","0","0","1","1"
"STATE OF QATAR","QAT","0","2","0","0","2","0","0","0","0","2"
"REGIONAL AFRICAN SATELLITE COMMUNICATIONS ORG","RASC","0","2","0","0","2","0","0","0","0","2"
"ROMANIA","ROM","0","0","0","0","0","1","0","0","1","1"
"REPUBLIC OF PHILIPPINES","RP","0","2","0","0","2","4","0","0","4","6"
"REPUBLIC OF RWANDA","RWA","0","1","0","0","1","1","0","0","1","2"
"SOUTH AFRICA","SAFR","0","7","0","0","7","4","0","0","4","11"
"SAUDI ARABIA","SAUD","0","15","0","0","15","0","0","0","0","15"
"REPUBLIC OF SUDAN","SDN","0","1","0","0","1","0","0","0","0","1"
"SEA LAUNCH DEMO","SEAL","0","1","30","3","34","0","3","0","3","37"
"SOCIÉTÉ EUROPÉENNE DES SATELLITES","SES","3","69","0","0","72","1","0","0","1","73"
"SINGAPORE","SING","0","15","0","0","15","2","0","0","2","17"
"SOUTH KOREA","SKOR","8","33","2","0","43","6","0","0","6","49"
"SPAIN","SPN","1","42","0","0","43","6","0","0","6","49"
"SINGAPORE/TAIWAN","STCT","0","2","0","0","2","0","0","0","0","2"
"REPUBLIC OF SLOVENIA","SVN","0","3","0","0","3","0","0","0","0","3"
"SWEDEN","SWED","0","12","0","0","12","1","0","0","1","13"
"SWITZERLAND","SWTZ","0","18","0","0","18","0","0","0","0","18"
"TO BE DETERMINED/UNKNOWN","TBD","126","2","0","0","128","24","0","0","24","152"
"THAILAND","THAI","0","13","0","0","13","0","0","0","0","13"
"TURKMENISTAN/MONACO","TMMC","0","1","0","0","1","0","0","0","0","1"
"REPUBLIC OF TUNISIA","TUN","0","1","0","0","1","0","0","0","0","1"
"TURKEY","TURK","0","21","0","0","21","3","0","0","3","24"
"TAIWAN","TWN","0","19","0","0","19","2","0","0","2","21"
"UNITED ARAB EMIRATES","UAE","0","18","0","0","18","2","0","0","2","20"
"Uganda","UGA","0","0","0","0","0","1","0","0","1","1"
"UNITED KINGDOM","UK","0","689","1","0","690","16","0","5","21","711"
"UKRAINE","UKR","0","5","2","0","7","3","0","0","3","10"
"URUGUAY","URY","0","1","0","0","1","0","0","0","0","1"
"UNITED STATES OF AMERICA","US","19","6123","746","4356","11244","1905","751","5142","7798","19042"
"UNITED STATES/BRAZIL","USBZ","0","1","0","0","1","0","0","0","0","1"
"VENEZUELA","VENZ","0","3","0","0","3","0","0","0","0","3"
"VIETNAM","VTNM","0","3","0","0","3","2","0","0","2","5"
"Zimbabwe","ZWE","0","0","0","0","0","1","0","0","1","1"
"ALL","ALL","388","10817","2333","13810","27348","4469","4117","20762","29348","56696"
