OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2023-077F","CZ-2F R/B","56766","PRC","89.39","41.47","300","189","LARGE","0","2023-05-30",""
"2023-077A","SZ-16","56761","PRC","92.32","41.47","391","386","","0","2023-05-30",""
"2023-076B","GSLV R/B","56760","IND","710.24","19.25","39809","174","LARGE","0","2023-05-29",""
"2023-076A","NVS-01","56759","IND","1177.07","6.81","39921","21180","","0","2023-05-29",""
"2023-075B","FALCON 9 R/B","56758","US","1196.59","27.80","61497","419","LARGE","0","2023-05-27",""
"2023-075A","ARABSAT 7B (BADR 8)","56757","AB","1214.31","26.45","61887","763","LARGE","0","2023-05-27",""
"2023-074A","COSMOS 2569","56756","CIS","94.82","97.44","511","509","LARGE","0","2023-05-26",""
"2023-073D","ELECTRON R/B","56755","US","95.48","35.46","560","524","LARGE","0","2023-05-26",""
"2023-073C","TROPICS-07","56754","US","95.51","32.73","554","533","MEDIUM","0","2023-05-26",""
"2023-073B","TROPICS-03","56753","US","95.58","32.73","555","539","MEDIUM","0","2023-05-26",""
"2023-073A","ELECTRON KICK STAGE R/B","56752","US","95.57","32.73","555","537","MEDIUM","0","2023-05-26",""
"2023-070B","AXIOM-2 DEB","56751","US","91.65","51.44","399","312","","0","2023-05-21",""
"2023-072H","OBJECT H","56750","SKOR","95.07","97.54","535","509","LARGE","0","2023-05-25",""
"2023-072G","OBJECT G","56749","SKOR","95.50","97.53","549","537","MEDIUM","0","2023-05-25",""
"2023-072F","OBJECT F","56748","SKOR","95.51","97.53","549","537","MEDIUM","0","2023-05-25",""
"2023-072E","OBJECT E","56747","SKOR","95.51","97.55","549","538","SMALL","0","2023-05-25",""
"2023-072D","OBJECT D","56746","SKOR","95.52","97.55","549","538","SMALL","0","2023-05-25",""
"2023-072C","OBJECT C","56745","SKOR","95.53","97.55","549","539","MEDIUM","0","2023-05-25",""
"2023-072B","OBJECT B","56744","SKOR","95.54","97.55","550","540","MEDIUM","0","2023-05-25",""
"2023-072A","OBJECT A","56743","SKOR","95.54","97.54","550","540","MEDIUM","0","2023-05-25",""
"2020-034F","CZ-2D DEB","56742","PRC","92.60","97.54","411","393","SMALL","0","2020-05-31",""
"2023-071A","PROGRESS MS-23","56740","CIS","92.88","51.64","419","412","","0","2023-05-24",""
"2023-069H","OBJECT H","56738","PRC","96.57","40.91","736","452","SMALL","0","2023-05-21",""
"2023-069G","CZ-2C DEB","56737","PRC","94.63","41.10","580","421","MEDIUM","0","2023-05-21",""
"2023-069F","CZ-2C DEB","56736","PRC","94.86","40.86","595","429","MEDIUM","0","2023-05-21",""
"2023-069E","CZ-2C DEB","56735","PRC","96.68","41.14","747","452","MEDIUM","0","2023-05-21",""
"2023-069D","CZ-2C R/B","56734","PRC","93.10","41.20","462","390","LARGE","0","2023-05-21",""
"2023-069C","OBJECT C","56733","PRC","94.06","41.01","494","452","LARGE","0","2023-05-21",""
"2023-069B","OBJECT B","56732","PRC","94.06","41.01","494","452","LARGE","0","2023-05-21",""
"2023-069A","OBJECT A","56731","PRC","94.10","41.01","497","453","LARGE","0","2023-05-21",""
"2023-068W","IRIDIUM 179","56730","US","97.28","86.68","630","627","LARGE","0","2023-05-20",""
"2023-068V","IRIDIUM 178","56729","US","97.28","86.67","630","627","LARGE","0","2023-05-20",""
"2023-068U","IRIDIUM 174","56728","US","97.22","86.68","629","622","LARGE","0","2023-05-20",""
"2023-068T","IRIDIUM 177","56727","US","97.28","86.67","630","627","LARGE","0","2023-05-20",""
"2023-068S","IRIDIUM 181","56726","US","97.27","86.68","630","626","LARGE","0","2023-05-20",""
"2023-068R","ONEWEB-0721","56725","UK","97.12","86.68","629","613","MEDIUM","0","2023-05-20",""
"2023-068Q","ONEWEB-0703","56724","UK","97.11","86.68","629","612","MEDIUM","0","2023-05-20",""
