NORAD_CAT_ID,OBJECT_NUMBER,CURRENT_NAME,PREVIOUS_NAME,CURRENT_INTLDES,PREVIOUS_INTLDES,CURRENT_COUNTRY,PREVIOUS_COUNTRY,CURRENT_LAUNCH,PREVIOUS_LAUNCH,CURRENT_DECAY,PREVIOUS_DECAY,CHANGE_MADE
"399","399","DELTA 1 DEB (YO)","DELTA 1 DEB (YO)","1962-047C","1962-047C","US","US","1962-09-18","1962-09-18","2019-01-11","","2019-01-15 16:49:20"
"479","479","THOR ABLESTAR DEB","THOR ABLESTAR DEB","1961-015FR","1961-015FR","US","US","1961-06-29","1961-06-29","2022-11-29","","2022-11-29 20:57:13"
"722","722","SCOUT X-4 DEB","SCOUT X-4 DEB","1963-053C","1963-053C","US","US","1963-12-19","1963-12-19","2018-04-18","","2018-04-21 15:48:15"
"879","879","OGO 1","OGO 1","1964-054A","1964-054A","US","US","1964-09-05","1964-09-05","2020-08-29","","2020-08-30 18:05:03"
"963","963","EXPLORER 26 (EPE-D)","EXPLORER 26 (EPE-D)","1964-086A","1964-086A","US","US","1964-12-21","1964-12-21","2021-08-25","","2021-08-26 20:46:51"
"2335","2335","OPS 8464 DEB","OPS 8464 DEB *","1965-065M","1965-065M","US","US","1965-08-13","1965-08-13","1981-04-13","1981-04-13","2021-11-13 18:06:15"
"2335","2335","OPS 8464 DEB *","OPS 8464 DEB","1965-065M","1965-065M","US","US","1965-08-13","1965-08-13","1981-04-13","1981-04-13","2021-11-16 20:52:52"
"2335","2335","OPS 8464 DEB","OPS 8464 DEB *","1965-065M","1965-065M","US","US","1965-08-13","1965-08-13","1981-04-13","1981-04-13","2023-05-20 17:35:10"
"2335","2335","OPS 8464 DEB *","OPS 8464 DEB","1965-065M","1965-065M","US","US","1965-08-13","1965-08-13","1981-04-13","1981-04-13","2023-05-27 17:39:12"
"2366","2366","WESTFORD NEEDLES","WESTFORD NEEDLES","1963-014R","1963-014R","US","US","1963-05-09","1963-05-09","2018-11-27","","2018-11-30 16:40:16"
"2708","2708","COSMOS 135 DEB","COSMOS 135 DEB *","1966-112E","1966-112E","CIS","CIS","1966-12-12","1966-12-12","1967-05-28","1967-05-28","2016-09-24 03:37:01"
"2797","2797","SL-8 DEB","SL-8 DEB *","1967-027D","1967-027D","CIS","CIS","1967-03-24","1967-03-24","1970-10-13","1970-10-13","2023-05-20 17:35:10"
"2797","2797","SL-8 DEB *","SL-8 DEB","1967-027D","1967-027D","CIS","CIS","1967-03-24","1967-03-24","1970-10-13","1970-10-13","2023-05-27 17:39:12"
"2797","2797","SL-8 DEB","SL-8 DEB *","1967-027D","1967-027D","CIS","CIS","1967-03-24","1967-03-24","1970-10-13","1970-10-13","2021-11-13 18:06:15"
"2797","2797","SL-8 DEB *","SL-8 DEB","1967-027D","1967-027D","CIS","CIS","1967-03-24","1967-03-24","1970-10-13","1970-10-13","2021-11-16 20:52:52"
"2865","2865","OPS 9334 (DATS)","OPS 9334 (IDSCS 19)","1967-066D","1967-066D","US","US","1967-07-01","1967-07-01","","","2021-07-22 18:06:28"
"2971","2971","DELTA 1 R/B(2)","DELTA 1 R/B(2) *","1967-094C","1967-094C","US","US","1967-09-28","1967-09-28","","","2021-11-13 18:06:15"
"2971","2971","DELTA 1 R/B(2)","DELTA 1 R/B(2) *","1967-094C","1967-094C","US","US","1967-09-28","1967-09-28","","","2023-05-20 17:35:10"
"2971","2971","DELTA 1 R/B(2) *","DELTA 1 R/B(2)","1967-094C","1967-094C","US","US","1967-09-28","1967-09-28","","","2023-05-27 17:39:12"
"2971","2971","DELTA 1 R/B(2) *","DELTA 1 R/B(2)","1967-094C","1967-094C","US","US","1967-09-28","1967-09-28","","","2021-11-16 20:52:52"
"3042","3042","SL-8 DEB *","SL-8 DEB","1967-108E","1967-108E","CIS","CIS","1967-10-30","1967-10-30","1968-06-24","1968-06-24","2021-11-16 20:52:52"
"3042","3042","SL-8 DEB","SL-8 DEB *","1967-108E","1967-108E","CIS","CIS","1967-10-30","1967-10-30","1968-06-24","1968-06-24","2021-11-13 18:06:15"
"3042","3042","SL-8 DEB","SL-8 DEB *","1967-108E","1967-108E","CIS","CIS","1967-10-30","1967-10-30","1968-06-24","1968-06-24","2023-05-20 17:35:10"
"3042","3042","SL-8 DEB *","SL-8 DEB","1967-108E","1967-108E","CIS","CIS","1967-10-30","1967-10-30","1968-06-24","1968-06-24","2023-05-27 17:39:12"
"3045","3045","SL-8 DEB","SL-8 DEB *","1965-070G","1965-070G","CIS","CIS","1965-09-03","1965-09-03","","","2023-05-20 17:35:10"
"3045","3045","SL-8 DEB *","SL-8 DEB","1965-070G","1965-070G","CIS","CIS","1965-09-03","1965-09-03","","","2023-05-27 17:39:12"
"3045","3045","SL-8 DEB *","SL-8 DEB","1965-070G","1965-070G","CIS","CIS","1965-09-03","1965-09-03","","","2021-11-16 20:52:52"
"3045","3045","SL-8 DEB","SL-8 DEB *","1965-070G","1965-070G","CIS","CIS","1965-09-03","1965-09-03","","","2021-11-13 18:06:15"
"3267","3267","WESTFORD NEEDLES","WESTFORD NEEDLES *","1963-014CF","1963-014CF","US","US","1963-05-09","1963-05-09","","","2021-11-13 18:06:15"
"3267","3267","WESTFORD NEEDLES","WESTFORD NEEDLES *","1963-014CF","1963-014CF","US","US","1963-05-09","1963-05-09","","","2023-05-20 17:35:10"
"3267","3267","WESTFORD NEEDLES *","WESTFORD NEEDLES","1963-014CF","1963-014CF","US","US","1963-05-09","1963-05-09","","","2023-05-27 17:39:12"
"3267","3267","WESTFORD NEEDLES *","WESTFORD NEEDLES","1963-014CF","1963-014CF","US","US","1963-05-09","1963-05-09","","","2021-11-16 20:52:52"
"3284","3284","OPS 9341 (IDSCS 19)","OPS 9341 (IDSCS 20)","1968-050A","1968-050A","US","US","1968-06-13","1968-06-13","","","2021-07-22 18:06:28"
"3285","3285","OPS 9342 (IDSCS 20)","OPS 9342 (IDSCS 21)","1968-050B","1968-050B","US","US","1968-06-13","1968-06-13","","","2021-07-22 18:06:28"
"3286","3286","OPS 9343 (IDSCS 21)","OPS 9343 (IDSCS 22)","1968-050C","1968-050C","US","US","1968-06-13","1968-06-13","","","2021-07-22 18:06:28"
"3287","3287","OPS 9344 (IDSCS 22)","OPS 9344 (IDSCS 23)","1968-050D","1968-050D","US","US","1968-06-13","1968-06-13","","","2021-07-22 18:06:28"
"3288","3288","OPS 9345 (IDSCS 23)","OPS 9345 (IDSCS 24)","1968-050E","1968-050E","US","US","1968-06-13","1968-06-13","","","2021-07-22 18:06:28"
"3289","3289","OPS 9346 (IDSCS 24)","OPS 9346 (IDSCS 25)","1968-050F","1968-050F","US","US","1968-06-13","1968-06-13","","","2021-07-22 18:06:28"
"3290","3290","OPS 9347 (IDSCS 25)","OPS 9347 (IDSCS 26)","1968-050G","1968-050G","US","US","1968-06-13","1968-06-13","","","2021-07-22 18:06:28"
"3291","3291","OPS 9348 (IDSCS 26)","OPS 9348 (IDSCS 27)","1968-050H","1968-050H","US","US","1968-06-13","1968-06-13","","","2021-07-22 18:06:28"
"3599","3599","COSMOS 249 DEB","COSMOS 249 DEB *","1968-091X","1968-091X","CIS","CIS","1968-10-20","1968-10-20","2009-08-04","2009-08-04","2021-11-13 18:06:15"
"3599","3599","COSMOS 249 DEB *","COSMOS 249 DEB","1968-091X","1968-091X","CIS","CIS","1968-10-20","1968-10-20","2009-08-04","2009-08-04","2021-11-16 20:52:52"
"3599","3599","COSMOS 249 DEB","COSMOS 249 DEB *","1968-091X","1968-091X","CIS","CIS","1968-10-20","1968-10-20","2009-08-04","2009-08-04","2023-05-20 17:35:10"
"3599","3599","COSMOS 249 DEB *","COSMOS 249 DEB","1968-091X","1968-091X","CIS","CIS","1968-10-20","1968-10-20","2009-08-04","2009-08-04","2023-05-27 17:39:12"
"3607","3607","COSMOS 249 DEB","COSMOS 249 DEB *","1968-091Z","1968-091Z","CIS","CIS","1968-10-20","1968-10-20","1991-03-20","1991-03-20","2023-05-20 17:35:10"
"3607","3607","COSMOS 249 DEB *","COSMOS 249 DEB","1968-091Z","1968-091Z","CIS","CIS","1968-10-20","1968-10-20","1991-03-20","1991-03-20","2023-05-27 17:39:12"
"3607","3607","COSMOS 249 DEB","COSMOS 249 DEB *","1968-091Z","1968-091Z","CIS","CIS","1968-10-20","1968-10-20","1991-03-20","1991-03-20","2021-11-13 18:06:15"
"3607","3607","COSMOS 249 DEB *","COSMOS 249 DEB","1968-091Z","1968-091Z","CIS","CIS","1968-10-20","1968-10-20","1991-03-20","1991-03-20","2021-11-16 20:52:52"
